filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,10,"{""name"":""rect"",""x"":143,""y"":413,""width"":142,""height"":40}","{""name"":""Thormon"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,11,"{""name"":""rect"",""x"":138,""y"":459,""width"":142,""height"":40}","{""name"":""Ticarel 90"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,12,"{""name"":""rect"",""x"":134,""y"":499,""width"":256,""height"":40}","{""name"":""Xiclav GFS 70ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,13,"{""name"":""rect"",""x"":135,""y"":548,""width"":202,""height"":36}","{""name"":""Exium 40mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,14,"{""name"":""rect"",""x"":142,""y"":587,""width"":199,""height"":42}","{""name"":""Actrapid 100IU"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,15,"{""name"":""rect"",""x"":142,""y"":634,""width"":201,""height"":39}","{""name"":""Seroquet 25"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,16,"{""name"":""rect"",""x"":141,""y"":683,""width"":199,""height"":45}","{""name"":""Purical 1mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,17,"{""name"":""rect"",""x"":140,""y"":734,""width"":226,""height"":34}","{""name"":""Uromax 400mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,18,"{""name"":""rect"",""x"":140,""y"":779,""width"":185,""height"":38}","{""name"":""Sodicarb 25"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1.png,298127,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,19,"{""name"":""rect"",""x"":139,""y"":825,""width"":250,""height"":38}","{""name"":""Filmet 400mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,0,"{""name"":""rect"",""x"":156,""y"":302,""width"":340,""height"":81}","{""name"":""Azithrocin 500mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,1,"{""name"":""rect"",""x"":163,""y"":375,""width"":350,""height"":79}","{""name"":""A- mycin 500mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,2,"{""name"":""rect"",""x"":169,""y"":449,""width"":307,""height"":63}","{""name"":""Womendom 200ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,3,"{""name"":""rect"",""x"":177,""y"":509,""width"":255,""height"":67}","{""name"":""Resq 60 Licap"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,4,"{""name"":""rect"",""x"":186,""y"":588,""width"":150,""height"":69}","{""name"":""Jorvan"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,5,"{""name"":""rect"",""x"":167,""y"":653,""width"":257,""height"":77}","{""name"":""Winop 30mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,6,"{""name"":""rect"",""x"":177,""y"":730,""width"":263,""height"":73}","{""name"":""Zikid 100ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,7,"{""name"":""rect"",""x"":177,""y"":814,""width"":255,""height"":75}","{""name"":""Zofra ODT 8"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,8,"{""name"":""rect"",""x"":184,""y"":887,""width"":219,""height"":67}","{""name"":""Zithrox 000"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,9,"{""name"":""rect"",""x"":177,""y"":962,""width"":255,""height"":67}","{""name"":""Xenobese 120"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,10,"{""name"":""rect"",""x"":171,""y"":1037,""width"":184,""height"":65}","{""name"":""Thormon"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,11,"{""name"":""rect"",""x"":167,""y"":1104,""width"":217,""height"":60}","{""name"":""Ticarel 90"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,12,"{""name"":""rect"",""x"":177,""y"":1174,""width"":350,""height"":54}","{""name"":""Xiclav GFS 70ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,13,"{""name"":""rect"",""x"":186,""y"":1243,""width"":284,""height"":69}","{""name"":""Exium 40mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,14,"{""name"":""rect"",""x"":158,""y"":1460,""width"":346,""height"":69}","{""name"":""Purical 1mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,15,"{""name"":""rect"",""x"":169,""y"":1542,""width"":353,""height"":60}","{""name"":""Uromax 400mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,16,"{""name"":""rect"",""x"":171,""y"":1592,""width"":265,""height"":67}","{""name"":""Sodicarb 25"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,17,"{""name"":""rect"",""x"":167,""y"":1644,""width"":317,""height"":94}","{""name"":""Filmet 400mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,18,"{""name"":""rect"",""x"":181,""y"":1329,""width"":330,""height"":52}","{""name"":""Actramid 100IU"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
2.png,1900991,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,19,"{""name"":""rect"",""x"":171,""y"":1400,""width"":280,""height"":54}","{""name"":""Seroquet 25"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,0,"{""name"":""rect"",""x"":305,""y"":198,""width"":285,""height"":27}","{""name"":""AZITHROCIN 500mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,1,"{""name"":""rect"",""x"":308,""y"":224,""width"":214,""height"":29}","{""name"":""A- MYCIN 500mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,2,"{""name"":""rect"",""x"":308,""y"":248,""width"":263,""height"":23}","{""name"":""WOMENTON 200ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,3,"{""name"":""rect"",""x"":311,""y"":271,""width"":202,""height"":27}","{""name"":""RESQ 60 LICAP"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,4,"{""name"":""rect"",""x"":305,""y"":298,""width"":131,""height"":27}","{""name"":""JORVAN"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,5,"{""name"":""rect"",""x"":309,""y"":326,""width"":182,""height"":27}","{""name"":""WINOP 30mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,6,"{""name"":""rect"",""x"":309,""y"":348,""width"":178,""height"":27}","{""name"":""ZIKID 100ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,7,"{""name"":""rect"",""x"":309,""y"":376,""width"":189,""height"":29}","{""name"":""ZOFRA ODT 8"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,8,"{""name"":""rect"",""x"":310,""y"":401,""width"":174,""height"":27}","{""name"":""ZITHROX 500"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,9,"{""name"":""rect"",""x"":311,""y"":428,""width"":199,""height"":25}","{""name"":""XENOBESE 120"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,10,"{""name"":""rect"",""x"":308,""y"":449,""width"":143,""height"":28}","{""name"":""THORMON"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,11,"{""name"":""rect"",""x"":311,""y"":473,""width"":171,""height"":25}","{""name"":""TICAREL 90"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,12,"{""name"":""rect"",""x"":311,""y"":494,""width"":255,""height"":33}","{""name"":""XICLAV GFS 70ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,13,"{""name"":""rect"",""x"":315,""y"":522,""width"":202,""height"":32}","{""name"":""EXIUM 400mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,14,"{""name"":""rect"",""x"":318,""y"":549,""width"":243,""height"":36}","{""name"":""ACTRAPID 100IU"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,15,"{""name"":""rect"",""x"":318,""y"":579,""width"":204,""height"":32}","{""name"":""SEROQUET 25"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,16,"{""name"":""rect"",""x"":326,""y"":608,""width"":211,""height"":38}","{""name"":""PURICAL 1mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,17,"{""name"":""rect"",""x"":314,""y"":642,""width"":243,""height"":35}","{""name"":""UROMAX 400mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,18,"{""name"":""rect"",""x"":316,""y"":672,""width"":221,""height"":36}","{""name"":""SODICARB 25"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131261399_1294745954227625_5547220995823230971_n.jpg,67130,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,19,"{""name"":""rect"",""x"":319,""y"":705,""width"":226,""height"":36}","{""name"":""FILMET 400mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,0,"{""name"":""rect"",""x"":144,""y"":128,""width"":162,""height"":31}","{""name"":""Azithrocin 500mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,1,"{""name"":""rect"",""x"":155,""y"":166,""width"":139,""height"":25}","{""name"":""A- Mycin 500mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,2,"{""name"":""rect"",""x"":142,""y"":196,""width"":159,""height"":26}","{""name"":""WOMENTON 200ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,3,"{""name"":""rect"",""x"":147,""y"":223,""width"":129,""height"":30}","{""name"":""RESQ 60 LICAP"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,4,"{""name"":""rect"",""x"":153,""y"":259,""width"":70,""height"":24}","{""name"":""JORVAN"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,5,"{""name"":""rect"",""x"":157,""y"":285,""width"":108,""height"":23}","{""name"":""WINOP 30mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,6,"{""name"":""rect"",""x"":201,""y"":310,""width"":112,""height"":23}","{""name"":""ZIKID 100ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,7,"{""name"":""rect"",""x"":204,""y"":340,""width"":103,""height"":27}","{""name"":""ZOFRA 8mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,8,"{""name"":""rect"",""x"":206,""y"":370,""width"":105,""height"":25}","{""name"":""ZITHROX 500"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,9,"{""name"":""rect"",""x"":211,""y"":399,""width"":115,""height"":22}","{""name"":""XENOBESE 120"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,10,"{""name"":""rect"",""x"":219,""y"":425,""width"":75,""height"":25}","{""name"":""THORMON"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,11,"{""name"":""rect"",""x"":228,""y"":455,""width"":82,""height"":22}","{""name"":""TICAREL 90"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,12,"{""name"":""rect"",""x"":203,""y"":483,""width"":141,""height"":25}","{""name"":""XICLAV GFS 70ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,13,"{""name"":""rect"",""x"":243,""y"":514,""width"":110,""height"":22}","{""name"":""EXIUM 40mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,14,"{""name"":""rect"",""x"":255,""y"":545,""width"":128,""height"":24}","{""name"":""ACTRAPID 100IU"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,15,"{""name"":""rect"",""x"":257,""y"":571,""width"":115,""height"":22}","{""name"":""SEROQUET 25"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,16,"{""name"":""rect"",""x"":269,""y"":594,""width"":112,""height"":25}","{""name"":""PURICAL 1mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,17,"{""name"":""rect"",""x"":266,""y"":623,""width"":147,""height"":28}","{""name"":""UROMAX 400mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,18,"{""name"":""rect"",""x"":273,""y"":647,""width"":108,""height"":25}","{""name"":""SODICARB 25"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
131984180_1828168463997979_5628570081243900516_n.jpg,40084,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,19,"{""name"":""rect"",""x"":278,""y"":678,""width"":133,""height"":30}","{""name"":""FILMET 400mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
132128389_748245732450603_1959981669450975590_n.jpg,64146,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,0,"{""name"":""rect"",""x"":335,""y"":186,""width"":251,""height"":36}","{""name"":""AZITHROCIN 500mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
132128389_748245732450603_1959981669450975590_n.jpg,64146,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,1,"{""name"":""rect"",""x"":340,""y"":218,""width"":248,""height"":38}","{""name"":""A- MYCIN 500mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
132128389_748245732450603_1959981669450975590_n.jpg,64146,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,2,"{""name"":""rect"",""x"":334,""y"":253,""width"":246,""height"":26}","{""name"":""WOMENTON 200ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
132128389_748245732450603_1959981669450975590_n.jpg,64146,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,3,"{""name"":""rect"",""x"":338,""y"":281,""width"":183,""height"":32}","{""name"":""RESQ 30 LICAP"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
132128389_748245732450603_1959981669450975590_n.jpg,64146,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,4,"{""name"":""rect"",""x"":336,""y"":314,""width"":96,""height"":32}","{""name"":""JORVAN"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
132128389_748245732450603_1959981669450975590_n.jpg,64146,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,5,"{""name"":""rect"",""x"":339,""y"":350,""width"":179,""height"":30}","{""name"":""ZIKID 100ml"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
132128389_748245732450603_1959981669450975590_n.jpg,64146,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,6,"{""name"":""rect"",""x"":339,""y"":382,""width"":187,""height"":37}","{""name"":""WINOP 30mg"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
132128389_748245732450603_1959981669450975590_n.jpg,64146,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,7,"{""name"":""rect"",""x"":340,""y"":414,""width"":162,""height"":30}","{""name"":""ZOFRA ODT 8"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
132128389_748245732450603_1959981669450975590_n.jpg,64146,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,8,"{""name"":""rect"",""x"":336,""y"":444,""width"":164,""height"":34}","{""name"":""ZITHROX 500"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
132128389_748245732450603_1959981669450975590_n.jpg,64146,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,9,"{""name"":""rect"",""x"":332,""y"":476,""width"":186,""height"":34}","{""name"":""XENOBESE 120"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
132128389_748245732450603_1959981669450975590_n.jpg,64146,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,10,"{""name"":""rect"",""x"":334,""y"":508,""width"":122,""height"":36}","{""name"":""THORMON"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
132128389_748245732450603_1959981669450975590_n.jpg,64146,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",20,11,"{""name"":""rect"",""x"":337,""y"":542,""width"":160,""height"":31}","{""name"":""TICAREL 90"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
